0,
1,
2,
3,"select t3.characteristic_name from products as t1 join product_characteristics as t2 on t1.product_id  =  t2.product_id join characteristics as t3 on t2.characteristic_id  =  t3.characteristic_id where t1.product_name  =  ""sesame"" and t3.characteristic_type_code  =  ""grade"""
4,select count(distinct status_of_thing_code) from timed_status_of_things
5,select t1.name from physician as t1 join affiliated_with as t2 on t1.employeeid  =  t2.physician join department as t3 on t2.department  =  t3.departmentid where t3.name  =  'surgery' or t3.name  =  'psychiatry'
6,select manager_name from gas_station where open_year  >  2000 group by manager_name order by count(*) desc limit 1
7,select t1.name from person as t1 join personfriend as t2 on t1.name  =  t2.name where t2.friend  =  'bob'
8,select count(*) from tryout where decision  =  'yes'
9,
10,select count(*) from rooms;
11,"select t2.team_name ,  t2.acc_regular_season from university as t1 join basketball_match as t2 on t1.school_id  =  t2.school_id order by t1.founded limit 1"
12,select distinct t1.forename from drivers as t1 join driverstandings as t2 on t1.driverid = t2.driverid where t2.position = 1 and t2.wins = 1
13,select t1.name from useracct as t1 join trust as t2 on t1.u_id  =  t2.source_u_id group by t2.source_u_id order by avg(trust) desc limit 1
14,"select distinct t2.product_id from orders as t1 join order_items as t2 on t1.order_id = t2.order_id where t1.date_order_placed >= ""1975-01-01"" and t1.date_order_placed <= ""1976-01-01"""
15,"select t1.name ,  count(*) from useracct as t1 join review as t2 on t1.u_id  =  t2.u_id group by t2.u_id"
16,select t2.name from assignedto as t1 join projects as t2 on t1.project  =  t2.code join scientists as t3 on t1.scientist  =  t3.ssn where t3.name like '%smith%'
17,select state_name from state where density  =  ( select min ( density ) from state );
18,"select avg(damage_millions_usd) ,  max(damage_millions_usd) from storm where max_speed  >  1000"
19,"select max(transit_passengers) ,  min(transit_passengers) from airport"
20,"select lname from authors where fname  =  ""amal"""
21,select pilot_name from pilot where pilot_id not in (select pilot_id from pilot_record)
22,select title from albums;
23,
24,"select dept_name ,  budget from department where budget  >  (select avg(budget) from department)"
25,select age from people order by height desc limit 1
26,"select avg(t3.cost) from physician as t1 join trained_in as t2 on t1.employeeid  =  t2.physician join procedures as t3 on t3.code  =  t2.treatment where t1.name  =  ""john wen"""
27,"select count(*) from customers where city = ""prague"";"
28,
29,
30,
31,select service_name from services order by service_name
32,"select t1.dorm_name ,  t1.student_capacity from dorm as t1 join has_amenity as t2 on t1.dormid  =  t2.dormid join dorm_amenity as t3 on t2.amenid  =  t3.amenid group by t2.dormid order by count(*) limit 1"
33,select advisor from student group by advisor having count(*)  >  2
34,"select fname ,  lname from student where stuid not in (select t1.stuid from has_allergy as t1 join allergy_type as t2 on t1.allergy  =  t2.allergy where t2.allergytype  =  ""food"")"
35,select count(distinct position) from player
36,"select density from state where state_name  =  ""wyoming"";"
37,
38,
39,select instrument from instruments group by instrument order by count(*) desc limit 1
