db_id,question,query
book_2,show different publishers together with the number of publications they have.,"select publisher ,  count(*) from publication group by publisher"
allergy_1,how many different advisors are listed?,select count(distinct advisor) from student
geo,give me the lakes in california,"select lake_name from lake where state_name  =  ""california"";"
scientist_1,"what are the naems of all the projects, and how many scientists were assigned to each of them?","select count(*) ,  t1.name from projects as t1 join assignedto as t2 on t1.code  =  t2.project group by t1.name"
department_store,give the ids of the three products purchased in the largest amounts.,select product_id from product_suppliers order by total_amount_purchased desc limit 3
climbing,what are the different ranges of the 3 mountains with the highest prominence?,select distinct range from mountain order by prominence desc limit 3
workshop_paper,what is the author of the submission with the highest score?,select author from submission order by scores desc limit 1
election,what are the names of parties that do not have delegates in election?,select party from party where party_id not in (select party from election)
bike_1,"for each zip code, find the ids of all trips that have a higher average mean temperature above 60?",select t1.id from trip as t1 join weather as t2 on t1.zip_code  =  t2.zip_code group by t2.zip_code having avg(t2.mean_temperature_f)  >  60
products_gen_characteristics,"how many products have the characteristic named ""hot""?","select count(*) from products as t1 join product_characteristics as t2 on t1.product_id  =  t2.product_id join characteristics as t3 on t2.characteristic_id  =  t3.characteristic_id where t3.characteristic_name  =  ""hot"""
hospital_1,which physician was trained in the procedure that costs the most.,select t1.name from physician as t1 join trained_in as t2 on t1.employeeid  =  t2.physician join procedures as t3 on t3.code  =  t2.treatment order by t3.cost desc limit 1
flight_1,what are the origins of all flights that are headed to honolulu?,"select origin from flight where destination  =  ""honolulu"""
manufactory_1,return the founder of sony.,select founder from manufacturers where name  =  'sony'
scholar,what papers does oren etzioni cite,"select distinct t3.paperid from paper as t3 join cite as t4 on t3.paperid  =  t4.citingpaperid join writes as t2 on t2.paperid  =  t4.citedpaperid join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""oren etzioni"";"
geo,what is the largest state,select state_name from state where area  =  ( select max ( area ) from state );
tvshow,"when did the episode ""a love of a lifetime"" air?","select air_date from tv_series where episode = ""a love of a lifetime"";"
music_4,what are the maximum and minimum week on top of all volumes?,"select max(weeks_on_top) ,  min(weeks_on_top) from volume"
orchestra,how many orchestras does each record company manage?,"select record_company ,  count(*) from orchestra group by record_company"
climbing,which countries have more than one mountain?,select country from mountain group by country having count(*)  >  1
